ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601088.SH,20260415,45.21,46.01,45.0,45.83,45.66,0.17,0.3723,282062.27,1285404.418
601088.SH,20260414,46.11,46.22,45.42,45.66,46.32,-0.66,-1.4249,301577.33,1377030.649
601088.SH,20260413,46.7,46.7,46.08,46.32,46.38,-0.06,-0.1294,232870.2,1078984.871
601088.SH,20260410,46.5,46.63,46.1,46.38,46.79,-0.41,-0.8763,256773.91,1189465.739
601088.SH,20260409,46.8,47.3,46.58,46.79,46.76,0.03,0.0642,222417.64,1041816.417
601088.SH,20260408,47.45,47.49,46.13,46.76,48.42,-1.66,-3.4283,502728.81,2344271.022
601088.SH,20260407,47.58,48.59,47.22,48.42,47.58,0.84,1.7654,264359.59,1270791.768
601088.SH,20260403,47.7,47.88,47.03,47.58,47.69,-0.11,-0.2307,213241.48,1011746.763
601088.SH,20260402,46.68,47.9,46.68,47.69,46.62,1.07,2.2952,322373.81,1531233.784
601088.SH,20260401,46.33,47.48,45.87,46.62,46.75,-0.13,-0.2781,335886.8,1573648.802
601088.SH,20260331,47.73,48.19,46.6,46.75,47.82,-1.07,-2.2376,391121.01,1841926.25
601088.SH,20260330,47.89,48.43,47.62,47.82,47.5,0.32,0.6737,281265.23,1349754.444
601088.SH,20260327,47.56,48.03,47.18,47.5,47.69,-0.19,-0.3984,225465.07,1070946.748
601088.SH,20260326,47.13,47.98,47.05,47.69,47.25,0.44,0.9312,359225.79,1707565.397
601088.SH,20260325,47.48,47.5,46.6,47.25,48.48,-1.23,-2.5371,579111.08,2720978.91
601088.SH,20260324,48.63,49.29,47.9,48.48,49.5,-1.02,-2.0606,465627.59,2258622.794
600436.SH,20260427,141.86,141.86,140.0,140.31,141.86,-1.55,-1.0926,21734.49,305251.102
600436.SH,20260424,142.0,142.88,140.75,141.86,142.43,-0.57,-0.4002,24593.9,348664.019
600436.SH,20260423,141.95,143.21,141.0,142.43,141.92,0.51,0.3594,31137.44,443103.381
600436.SH,20260422,143.99,143.99,141.43,141.92,144.11,-2.19,-1.5197,40660.5,578467.524
600436.SH,20260421,144.99,145.58,144.0,144.11,145.08,-0.97,-0.6686,23144.64,334405.248
600436.SH,20260420,146.3,146.3,144.55,145.08,146.31,-1.23,-0.8407,26429.7,383525.369
600436.SH,20260417,147.47,147.5,146.23,146.31,148.07,-1.76,-1.1886,22592.68,330901.874
600436.SH,20260416,148.98,149.18,147.78,148.07,148.98,-0.91,-0.6108,15796.36,233933.66
600436.SH,20260415,148.86,149.48,148.6,148.98,148.56,0.42,0.2827,17329.1,258202.87
600436.SH,20260414,148.76,149.26,147.52,148.56,148.77,-0.21,-0.1412,19548.69,289564.155
600436.SH,20260413,150.0,150.02,148.6,148.77,150.7,-1.93,-1.2807,19748.81,294173.841
600436.SH,20260410,150.95,151.79,150.1,150.7,150.89,-0.19,-0.1259,20411.52,307786.182
600436.SH,20260409,152.72,152.72,150.63,150.89,152.81,-1.92,-1.2565,13651.0,206372.356
600436.SH,20260408,151.55,152.85,151.14,152.81,150.6,2.21,1.4675,16030.02,244010.578
600436.SH,20260407,151.03,151.49,150.4,150.6,151.03,-0.43,-0.2847,9936.68,149922.509
600436.SH,20260403,151.8,152.01,151.0,151.03,152.01,-0.98,-0.6447,11635.07,175948.809
600436.SH,20260402,154.0,154.07,151.82,152.01,153.0,-0.99,-0.6471,16279.87,248564.032
600436.SH,20260401,151.88,153.24,151.55,153.0,151.1,1.9,1.2574,14383.54,219189.934
600436.SH,20260331,153.59,154.37,151.08,151.1,152.5,-1.4,-0.918,16985.2,259845.305
600436.SH,20260330,151.7,152.93,151.5,152.5,152.93,-0.43,-0.2812,10277.67,156310.078
600436.SH,20260327,151.61,153.3,151.4,152.93,152.15,0.78,0.5127,10506.33,160463.04
600436.SH,20260326,154.06,154.57,151.81,152.15,154.07,-1.92,-1.2462,12285.13,187655.645
600436.SH,20260325,152.99,154.22,152.2,154.07,152.69,1.38,0.9038,12211.56,187348.738
600436.SH,20260324,153.38,153.95,151.33,152.69,152.06,0.63,0.4143,14575.17,222720.8
